Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.0956402561447714,0.013244687512728266,0.5291822552058313,0.9872184800919283,0.09538571601676293,0.013116408863495395,0.5263711045426029,0.9754019562885488
1,0.08056960438865779,0.017393410627278335,0.5856813812367937,0.9872184800919283,0.06298316046505312,0.015742297424639357,0.5658539108570678,0.988175030008375
2,0.08953356485647089,0.029530886057345943,0.6471801056753316,0.9872184800919283,0.04938168816713962,0.02426677962393481,0.6247394027469285,0.9881618642519426
3,0.14789725060261064,0.06360506264444053,0.6952721966053919,0.9872184800919283,0.03159843767726403,0.048262572576682226,0.6774451591411867,0.9882935414689004
4,0.17886315160666896,0.11296714595615008,0.7260722816146112,0.9871263068846837,0.022604865642488838,0.0916367141567126,0.714689484431823,0.9923229851014567
5,0.15664527757691873,0.17802867390235771,0.7467320057973447,0.9863581894989493,0.01694328671393899,0.14628098314012292,0.7381738517246751,0.9950882882357407
6,0.17914319486794877,0.26183797858913443,0.7616359680212526,0.9866039865496089,0.012387886800815153,0.22581722039392202,0.7557803092311044,0.9962207486734315
7,0.18209436955303845,0.3219160275720878,0.7727961703046667,0.9870648544171726,0.010456657973391547,0.29704822471618675,0.768361732621338,0.9966289633865771
8,0.19473000018886807,0.3694097994659252,0.7810902377791927,0.9871570312870985,0.008500394925077382,0.3487835386910611,0.7779482406868579,0.997577070612208
9,0.1917486678353725,0.40974931988030616,0.7882365875300253,0.9871263068846837,0.005131065788174796,0.3927234531412747,0.7855844978404553,0.9982881510159297
10,0.1818691019677206,0.4410763341743144,0.7939553493218667,0.9865732639785347,0.004479059589118923,0.4277383342228904,0.7917161364251516,0.9985778518440528
11,0.1715344725729013,0.4658448113751828,0.7990711186874714,0.9841460076481471,0.003095627024872762,0.45662396103039693,0.797201320985981,0.9991704145082014
