Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.10435759583015677,0.3528022693207609,0.8083845949152463,0.9872184844688325,0.8356217740441833,0.357709151018611,0.8112462313888628,0.6667519121828591
1,0.09548382147179224,0.3426486293368615,0.8050067237995735,0.9872184844688325,0.546592747616341,0.3470738668880804,0.8067269098118443,0.7649616464934386
2,0.09675188461971543,0.3335385514623497,0.8024439256077783,0.9872184844688325,0.5185055900412752,0.33744426288873036,0.8036667817388959,0.764705893176291
3,0.1008877758510498,0.32569287914531986,0.8006260260245062,0.9868805142109283,0.507989421524965,0.3290956866405809,0.8015425231145776,0.7639386228588231
4,0.11851925846293075,0.3188335648929996,0.799493768150936,0.9848833950898298,0.4753886835501932,0.32180354128713196,0.8001877235634552,0.7736572981490504
5,0.07841889756439333,0.31334919237916903,0.799105904624404,0.9872184844688325,0.45799425175732666,0.3157334981671989,0.7994038698923253,0.7746802966308106
6,0.13418248040128838,0.3078061340362256,0.7986271754550462,0.985374996448752,0.436445072636275,0.3101978526091027,0.7990196048451201,0.7787723827849874
7,0.17960149381964108,0.3039688534676858,0.7989397510502985,0.9485666839601103,0.3317576150607575,0.3059820401699037,0.7991934531485029,0.8409207179723188
8,0.13399477681760802,0.3019865666127452,0.79891323098119,0.9872184844688325,0.6493229401081114,0.3031405677728336,0.7993741011070779,0.745268530324292
9,0.09301045663563466,0.29693760532942676,0.7972470092862074,0.9872184844688325,0.6020123176562512,0.29918117642097763,0.7979003535512158,0.7406649713016227
10,0.09655325251528168,0.2925645028813759,0.7969711574481981,0.9872184844688325,0.48399787272333794,0.29457814774244945,0.7972831197102052,0.7703324874953541
11,0.13940257720879762,0.2886345961674291,0.796819784864543,0.9872184844688325,0.4489128841920887,0.2904669517446357,0.7971795510757914,0.770588229226944
12,0.18037926807029458,0.28521039494209055,0.7967677002722727,0.9871570356640028,0.4036513792584314,0.28697667768239365,0.7971806265509037,0.7693094566959859
13,0.15876440438232903,0.28236308810725336,0.7970687119913976,0.9871263094302473,0.3441586997502905,0.2838171565014383,0.7971559439778633,0.7797953946816037
14,0.17656854464910207,0.2798324141095237,0.7976039316253728,0.9830091827350941,0.2970962826248325,0.2814149870287122,0.7977664566710782,0.7879795494591794
15,0.145380378106208,0.2778708036612061,0.7984442330561948,0.9704734739020888,0.2663937335276543,0.2788570878450828,0.7982504578197703,0.8283887429310538
