Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.08066295730115178,0.012575651513849885,0.5265307828926375,0.9874642790416882,0.11466057401909494,0.012411774906045206,0.5157504670418187,0.9608643528849734
1,0.09337042844293304,0.016158124586315416,0.5829203867925478,0.9874642790416882,0.0625294062253449,0.014763317119723443,0.5642399528303456,0.9884383952438222
2,0.10931815092774673,0.023786495134818626,0.6319800534969754,0.9874642790416882,0.05164589795675837,0.02108204708829179,0.6160902620810768,0.9884778950231685
3,0.15512866186830832,0.04051638246885122,0.6748509176386099,0.9874642790416882,0.03646029434421996,0.03328604510034395,0.6585560094884648,0.9886622520662325
4,0.12008707440367901,0.06666895683064938,0.7093172007344427,0.9836544062214652,0.025833857043526056,0.05468207990418298,0.693143227936867,0.9915592364117334
5,0.1626458856627612,0.11134168103712255,0.7324451462524469,0.9872184838223692,0.019720234590715993,0.08875458872373523,0.7230011333044578,0.9946010688817981
6,0.13964363470837007,0.18848339816172574,0.7489702893364912,0.9860816607882718,0.015561077169726382,0.15209843771078982,0.740840343145202,0.9956676907773325
7,0.14714392159770198,0.25189924999752417,0.7628989122073383,0.9816880267798254,0.010815057144070042,0.22684081680719026,0.7564915512810593,0.9969450006464139
8,0.17715996509232412,0.3070377226653735,0.7732291719358733,0.9870955824822688,0.0082539490727496,0.2794180805765768,0.7682993281774676,0.9976692489045548
9,0.19265625466911293,0.35487315013565646,0.7810619840659454,0.9873106551982732,0.006009836477602523,0.3343697088399332,0.7778465667720452,0.9981828042938461
10,0.17569537567159094,0.3908556207534219,0.7873766434633278,0.9863274632651937,0.005782749332805141,0.37470555009070666,0.7843397029969714,0.9983408242137163
