,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc,lr
0,0.12109842327735322,0.02227893419636684,0.5549648322339112,0.9783303308134572,0.1401111465323021,0.021990644628262064,0.5378326762650794,0.9580101404947039,0.0020000000949949026
1,0.14043169504670278,0.02635537144090569,0.6063471223295199,0.9783303308134572,0.0965913965674638,0.02487891884511452,0.5891069367554252,0.9805475087607763,0.0020000000949949026
2,0.1403749881405997,0.0327164214695907,0.6530125392204705,0.9783303308134572,0.08732190745210704,0.030108201050494922,0.6366217474934422,0.9806029919927595,0.0020000000949949026
3,0.14559751194509296,0.043154050806057005,0.6947955355949927,0.9783303308134572,0.0783072410629172,0.038694849213926734,0.6788947003249678,0.9805918941273769,0.0020000000949949026
4,0.23014871289591626,0.06055972498823169,0.7328564141333306,0.9783303308134572,0.06626399625794051,0.05321481488691789,0.7186790460261947,0.9806140921267921,0.0020000000949949026
5,0.2431067675963447,0.0904458790008646,0.7689191610936469,0.9783303308134572,0.050594894509153075,0.0771036365903027,0.7537055277126742,0.9806695765393992,0.0020000000949949026
6,0.2450256458872292,0.12604935619022548,0.7965185670574577,0.9779308892210634,0.04389741018046834,0.10953247771352466,0.7845133481913101,0.9815129213335141,0.0020000000949949026
7,0.299153159948152,0.17024071592579398,0.8191768439653655,0.9780307540832605,0.034151173559828614,0.14980896488995332,0.8098363952398768,0.987915709725706,0.0020000000949949026
8,0.24867337417131466,0.23702042341672758,0.8358402867171492,0.9765328585280137,0.03013034272025678,0.20845881337568126,0.828535954498801,0.9899353039971466,0.0020000000949949026
9,0.2738618133924113,0.2991997530854627,0.849569698603348,0.9762332639414225,0.025251448643895818,0.27171865887486446,0.8435559685104824,0.9914000663687532,0.0020000000949949026
10,0.28264849728266017,0.3525545286910844,0.8602231573934729,0.9773317298085384,0.02345152186212132,0.32779675084849813,0.855564651474495,0.9918994167860441,0.0020000000949949026
11,0.2681182157575902,0.4023405027491903,0.8699668614074383,0.9709406881387633,0.016206943817078375,0.3811029995921179,0.8656139499778662,0.9942408155636714,0.0020000000949949026
12,0.31236935806943733,0.44718928640179706,0.8779325068342202,0.9777311714009322,0.012893277426840828,0.4257453196630807,0.8745619501657171,0.9957721602628737,0.0020000000949949026
13,0.3039958919397324,0.4828130932049002,0.8843136485141505,0.9759336872112259,0.013357412043227998,0.4653992673800363,0.8814211973770468,0.9954725478033765,0.0020000000949949026
14,0.30084170935872107,0.5158840484168683,0.8900823448502854,0.9756341104810291,0.009640685466582708,0.5007831378611278,0.8876087271996693,0.9967042850499856,0.0020000000949949026
15,0.2978078458114926,0.5432052307912683,0.8948856650033062,0.9754343867087664,0.010281215689655775,0.5306829485976905,0.8928066232667506,0.9963713829628243,0.0020000000949949026
16,0.2873763566012391,0.5661633204075779,0.8988931860327601,0.9739364971056512,0.010744071533355519,0.5561312516109695,0.8971872925798047,0.9964379665636421,0.0020000000949949026
17,0.2942797353307787,0.586788001116674,0.9026210333073903,0.9723387247839445,0.00910113551246532,0.5770356418506608,0.900998107936597,0.9968818351643758,0.0020000000949949026
