Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.0776555106817786,0.012829272095516315,0.5189078579202578,0.9886318196637819,0.15110762164339495,0.013804405229457415,0.5066543975108541,0.9343437635798596
1,0.08170202649754599,0.014563372333012387,0.5622306137175502,0.9886318196637819,0.06873589816365296,0.013942674665818429,0.5478984155896462,0.9876483048683922
2,0.09660980365473353,0.016967628068539114,0.5965184220946264,0.9886318196637819,0.06343132655337327,0.015955449692386242,0.5833931856090973,0.987648305746674
3,0.09761685496180984,0.020085268361343948,0.6237958300519136,0.9886318196637819,0.05885704866218775,0.01877376818013888,0.6130016894390496,0.9876614743859741
4,0.14664135802193026,0.02405468854324885,0.64596499230018,0.9886318196637819,0.05439035943892351,0.02242138678462663,0.6372252833356448,0.9876483058863827
5,0.11804299199649272,0.03007225268912007,0.6693436028287316,0.9886318196637819,0.04681894310476377,0.02749842400747282,0.6597822701718611,0.9876351358562736
6,0.16687203571967243,0.03868332896846892,0.6904413925615049,0.9886318196637819,0.03966215642113465,0.0347852211192593,0.6813303937251557,0.9879643412036391
7,0.15070404071431448,0.05026371355048082,0.7095838568194266,0.9886318196637819,0.032905438576537785,0.0447676566836679,0.7008323969101143,0.9893074874156405
8,0.16758559506940385,0.06756447118444003,0.7262671094583608,0.9886318196637819,0.02674301316381153,0.059183048003805305,0.7187761881951716,0.9912431994548607
9,0.14087865228108606,0.0961615936270078,0.7393824427264163,0.9883552934785231,0.024365266934569946,0.08256124754141088,0.7332233393294797,0.9923888274675531
10,0.15623234920669532,0.143749678597698,0.7510103113322294,0.9886010952613671,0.018824218770475385,0.1238647769769712,0.7459037484329448,0.994219193336461
