Gaussian process step,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc,lr
0,0.3367191721768783,0.11010320707366975,0.590124353234916,0.9791092445970844,0.3137536620322797,0.11544915927109167,0.5965752862804015,0.9805275360139996,0.0020000000949949026
1,0.3367191721768783,0.06403049703636092,0.5710205428634119,0.9791092445970844,0.3137021628231432,0.06701932784177725,0.5766957651176277,0.9805275365517291,0.0020000000949949026
2,0.33672486717629113,0.10063198943778096,0.5760259257763809,0.9791092445970844,0.3138040465352692,0.10667306054139414,0.5822420827208801,0.9805275365047686,0.0019600000930950047
3,0.3367191721768783,0.026152837419458702,0.5181955079725695,0.9791092445970844,0.3138590473365822,0.02671082655481389,0.5199322607253022,0.9805275366271303,0.0020000000949949026
4,0.33672651919038715,0.043348704370131906,0.5309195024728632,0.9791092445970844,0.31382029021226254,0.04547846485729427,0.5339906172711533,0.9805275339913955,0.0020000000949949026
5,0.037661182049860714,0.5705368101703969,0.933610505590616,0.987697225143649,0.034107168948647126,0.557350593448348,0.9298941424017135,0.9889410413880295,0.0020000000949949026
6,0.2832766769031646,0.3111406727884257,0.7284707052564345,0.9805472295679969,0.2571025477423241,0.3168240871064356,0.7354606341429115,0.9823429533647052,0.0019600000930950047
7,0.03751300315494292,0.504043933146248,0.9263522495879654,0.9883363269297739,0.03531557287594465,0.48530185029215056,0.921864394570431,0.9884860767937148,0.0020000000949949026
8,0.040684620419338645,0.3713626148030742,0.905330067593251,0.9874375812636418,0.04090399205394797,0.3486206374921667,0.8997975643084821,0.9877647940913856,0.0020000000949949026
9,0.3367199405970541,0.04066736381527,0.5311798595467894,0.9791092445970844,0.31384029083039666,0.04253502400035121,0.5342541843801873,0.9805275339913955,0.0020000000949949026
10,0.3367191721768783,0.15048618942070607,0.6320998021650153,0.9791092445970844,0.32234066966504193,0.16085400100250632,0.6405926797017926,0.9800415007691635,0.0018800000892952085
11,0.33671959775428006,0.22667057595734877,0.6739261376160168,0.9791092445970844,0.31384765830968286,0.23644761912074025,0.6833017297643613,0.9805275364379659,0.0018400000873953104
12,0.3367191733673046,0.03614125869430145,0.5268532114755567,0.9791092445970844,0.31385905550408594,0.03746493923708259,0.5293063439226993,0.9805275364578083,0.0020000000949949026
13,0.33671955430372014,0.019924836737403785,0.49768034329141997,0.9791092445970844,0.3137459180940013,0.019956013662429824,0.49744233916938346,0.9805275339913955,0.0020000000949949026
14,0.03753273092355004,0.4787955958197544,0.9258091239913011,0.988116634946777,0.03351233465079085,0.4567185374524043,0.9210851296394409,0.9890231580517416,0.0020000000949949026
15,0.33672557250387325,0.15806895765104478,0.6088912134782888,0.9791092445970844,0.31426809073825845,0.1673539514330873,0.6164726153972991,0.9800082115767099,0.0019600000930950047
17,0.3367219902135339,0.056451957431921884,0.5470481357175432,0.9791092445970844,0.3138302402349663,0.05924556644149485,0.5510873794416767,0.9805275360794795,0.0020000000949949026
18,0.0412089940139169,0.534577550679975,0.9299306240390346,0.9875574190982782,0.03425930078417537,0.5199456541750446,0.9260794093895726,0.988756835663717,0.0020000000949949026
20,0.2157496768403615,0.3706885367304545,0.7952152479854391,0.9827441577309497,0.2021507913629074,0.3703692464766874,0.7997552808015225,0.9838143750898374,0.0019200000911951064
22,0.04119967737938271,0.37842025327925344,0.9129527858852603,0.9873577012781471,0.04001669047631499,0.35519997148755766,0.9080014050555179,0.9870390708631935,0.0020000000949949026
23,0.33671919717583054,0.12711918333826938,0.5979368234361648,0.9791092445970844,0.31384704879426667,0.13401866038252752,0.6050732033684779,0.9805275362402032,0.0019600000930950047
26,0.03921106761955094,0.5766768988911587,0.9346694528401814,0.9873577000877208,0.03433792126997721,0.5639394382951247,0.9311874481037332,0.9887368630393016,0.0020000000949949026
27,0.3367270188718261,0.06624988205723475,0.5441465152555153,0.9791092445970844,0.31376691946315494,0.06991232855116433,0.5479391703636922,0.9805275362686439,0.0020000000949949026
28,0.0404235834620464,0.590312202121532,0.9426965641765888,0.988076692573177,0.03140471527812592,0.576854025525487,0.940019443164181,0.9898953560100623,0.0020000000949949026
29,0.040815251833153425,0.5511372784833031,0.9353341933898591,0.9866387040309856,0.033236222202765946,0.5342690274944987,0.9316256824620697,0.9892672835369751,0.0020000000949949026
30,0.03788780097562104,0.5627794969574715,0.9324035723908874,0.9883363269297739,0.03227264185091504,0.5475413805156599,0.9284271086220158,0.9895247274064902,0.0020000000949949026
31,0.04156142270407524,0.6091779064436932,0.937118544849017,0.9875773873090126,0.03044912054199565,0.5958633260537923,0.9336131842015452,0.9902238170237101,0.0020000000949949026
32,0.3367191721768783,0.09402436560616179,0.6412558141072782,0.9791092445970844,0.31385905308036743,0.09793099677732234,0.6501724933541373,0.980527535918756,0.0019600000930950047
34,0.3367275423617909,0.20543877256709422,0.6410347729927294,0.9791092445970844,0.3138032607942028,0.21606698254005746,0.6502664834226215,0.9805275363824071,0.0019600000930950047
35,0.04587093347666695,0.5966076856819436,0.9436468254574668,0.9870780879969793,0.039397009362273576,0.591190558455206,0.9425935473449698,0.9890054020716617,0.0020000000949949026
36,0.048950897100678153,0.6039338860560349,0.9397253172969495,0.9866986205674513,0.03560076042020242,0.5950667928319646,0.9376613493971947,0.9890386930036341,0.0020000000949949026
37,0.04031373010774851,0.46646390366939955,0.9285988910554863,0.9865987604669595,0.035917595395205525,0.44628576474605286,0.9247955898437906,0.9880533080809679,0.0020000000949949026
38,0.04405584384010171,0.4714198940095965,0.9333936462293778,0.9876772509807832,0.03887389077857658,0.4526282714177886,0.9306217147477825,0.9876050040393223,0.0020000000949949026
39,0.038519853091443824,0.39155595871962684,0.9217312989059694,0.9886159342588101,0.03948404968944588,0.35946794651799363,0.9170654512493316,0.9877647949320428,0.0020000000949949026
40,0.04158261036535675,0.4055721475355683,0.920835158356845,0.9864789297748807,0.04027537962734231,0.37990552442053477,0.9161935378922929,0.9879290257460935,0.0020000000949949026
41,0.0387434744192916,0.5117744936304033,0.9211451599215567,0.9876772521712095,0.036502928722906565,0.49479629353996907,0.916579744291378,0.9882486087134812,0.0020000000949949026
42,0.33671923288861955,0.21098162204872378,0.651498396036652,0.9791092445970844,0.31384908823263136,0.22114253279930773,0.6605143185944586,0.9805275348604935,0.0018800000892952085
43,0.3367191721768783,0.2047379035179025,0.6620984647263066,0.9791092445970844,0.31393649498040815,0.21415790280875696,0.6712957524230221,0.9805275365047688,0.0018800000892952085
