Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.10715985517001948,0.013259203252854863,0.5313107197938927,0.9875871796199509,0.11781142404713864,0.013289775114861494,0.5284346062567137,0.9607195057619177
1,0.07292940170827299,0.015467291802303412,0.5763877531451249,0.9875871796199509,0.06901547135255305,0.01435866606824155,0.5566457141767606,0.9877404828577748
2,0.1328023520853456,0.018822486835909348,0.6135904632373007,0.9875871796199509,0.06149816215557302,0.017728287151985204,0.6049012642887148,0.9878326595803597
3,0.10546559116145515,0.02439653632565076,0.6443383278731586,0.9875871796199509,0.05317224499573865,0.022283415438253427,0.6344235674098366,0.9878589963935255
4,0.13057599071497178,0.035034950359262594,0.6749180873978591,0.9875871796199509,0.04274045245451422,0.030278011483598256,0.6626838905540903,0.9878721654990449
5,0.16037098809526854,0.05527796640023385,0.703895842695352,0.9875871796199509,0.029622565629982913,0.045658449658854974,0.6915747656666924,0.9880038434074827
6,0.17537301803516434,0.0818162791992485,0.7263864954283341,0.9875871796199509,0.023308767131259515,0.06930492730527381,0.716704664131954,0.9905979640120519
7,0.1773837074057336,0.11531478796355364,0.7425899985170102,0.9875257308151212,0.020227505532981426,0.09975407544617025,0.7359614050412981,0.9936134577428529
8,0.1736336189438664,0.1743662687612612,0.7548662808119663,0.9869419635065573,0.017021529271847836,0.14588680115074928,0.7491055171105218,0.9948512620354573
9,0.17523096336731878,0.2318210960827244,0.7648396246073657,0.9868805099695432,0.013623257437795827,0.2063834521280743,0.7606193608660061,0.9959705529555662
10,0.1857390784199426,0.28743324346043064,0.7738732810825797,0.9870034112418841,0.007027148215640731,0.2628175175895109,0.7699405017135641,0.9978009305042878
11,0.18730678861930952,0.32759634039678687,0.7810601271158079,0.9873721069717062,0.007950044894237214,0.3096329440358324,0.7779587198420814,0.9974322209948007
