,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc,lr
0,0.04992859461823739,0.09496469190074508,0.7517871676816039,0.9842221017414304,0.14809000787390425,0.04175113067805588,0.5371005150162946,0.9558906766606685,0.0020000000949949026
1,0.043550385699414176,0.3067743917806243,0.8684904245242687,0.9864190096671361,0.04305273764137531,0.21369591579080144,0.8260442624853575,0.9865286225831658,0.0020000000949949026
2,0.04101894612652675,0.4211493356870229,0.9037260811605543,0.9868184453073985,0.03733992768299632,0.3717709185310089,0.888963352860423,0.9886037066081317,0.0020000000949949026
3,0.03954150017813318,0.4913057782453812,0.9212546908310223,0.9872178868997923,0.03445313995477955,0.4591810890371764,0.9133179267514729,0.9890031800136528,0.0020000000949949026
4,0.04101703254108315,0.5406494586439649,0.9322577804678187,0.9872178988040553,0.03242239636736785,0.517266656572323,0.9273815030035281,0.9896800821955618,0.0020000000949949026
5,0.058524240108926893,0.5747110418676259,0.9389545488481348,0.9832234828801172,0.03125420205143539,0.5616073970721023,0.9364986734669534,0.9900684605235603,0.0020000000949949026
6,0.049423774127108244,0.5979482957482076,0.9433220482905849,0.9880167760367115,0.03169130695435951,0.5865058693444296,0.9412817890787177,0.989768852174751,0.0020000000949949026
7,0.03593282193516141,0.6191519036582541,0.9471132159233093,0.9888156473172361,0.03041969778508901,0.6088204253630911,0.9451847529696253,0.9902571073227092,0.0020000000949949026
8,0.0553823521238155,0.6353956634993083,0.9497177492650846,0.9841222130707074,0.030490983842003782,0.6286505940561917,0.9487160595062034,0.9903014926893098,0.0020000000949949026
9,0.03981530304331521,0.6483140990051748,0.9519018970231989,0.9866187334393989,0.029759872807428863,0.6417473811722667,0.9507586473463135,0.9904235559802388,0.0020000000949949026
10,0.08910860208002469,0.6576370010005516,0.9539743283801101,0.9669462841190881,0.02969408792977655,0.6551783501460988,0.9529747078191391,0.9905123326661659,0.0020000000949949026
11,0.08091644503641966,0.6639252801676675,0.955540257345923,0.9705412465463695,0.030418606062996702,0.6606874932689009,0.9548033955658951,0.9902349127725679,0.0020000000949949026
12,0.04622836485996155,0.6715429125966391,0.957011908274914,0.9858198502546112,0.029988270060554243,0.668414723606324,0.9564359322664353,0.9902016230027,0.0020000000949949026
13,0.040886059626066416,0.6796507400049286,0.9583644975867366,0.9890153770416302,0.029063762737191728,0.6759459449044384,0.9577623542801222,0.9905234276510906,0.0020000000949949026
14,0.05538879928800525,0.6858718253691467,0.9594766355832227,0.981226286822411,0.02895777531652174,0.6835392255762286,0.958929229431104,0.9903569785669489,0.0020000000949949026
15,0.042132631780514865,0.6921510700458582,0.96043699658367,0.9885160765391708,0.028626514627209367,0.6893598882315214,0.960065973417228,0.9903125893740684,0.0020000000949949026
