Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.10348004037465398,0.012777692254814815,0.5284438243596334,0.9874642790416882,0.11317637876851318,0.012851586087971486,0.5222546367449294,0.9619573082100518
1,0.12076985851274964,0.014916319721186238,0.5673051007435604,0.9874642790416882,0.06583702014185117,0.014097914684503193,0.5537446005246658,0.9883725539349604
2,0.16117401419101407,0.018313971424250574,0.602356836734054,0.9874642790416882,0.05926534001086485,0.017203627403234556,0.5913781144818945,0.9884383911797086
3,0.17692244723294998,0.024814841009720638,0.636634905385829,0.9874642790416882,0.04935906573663446,0.02248535432429496,0.6245753980069397,0.988477896872348
4,0.14275981306921676,0.0381632562695031,0.6688915863379057,0.9874642790416882,0.03697675614693567,0.031907853169063284,0.6544993968342487,0.989175808442904
5,0.1846607992008988,0.05975199988601222,0.6955855920021261,0.9874642790416882,0.028208353708309528,0.04999627984778737,0.6839888389589562,0.9911378534242572
6,0.1540160248312499,0.09728033162808424,0.7163067705697843,0.9871570295235175,0.021494019954456364,0.07893883614458332,0.7068044434780051,0.993889991711001
7,0.1546894017146048,0.15568808327449113,0.7324226513181292,0.9872492045621027,0.016774745271265427,0.12926085221633368,0.7251658447469342,0.9949829463626516
8,0.16675696088358874,0.21423750266652064,0.7459453051605287,0.9869112306415172,0.012812762131759213,0.18724134713664456,0.7393684773666717,0.9958125397966606
9,0.190828257343511,0.2698575384544257,0.7568223593066313,0.9874642790416882,0.009329434281425249,0.24610044869603512,0.7522781557036928,0.9972610346034715
10,0.16601026657869525,0.31184630564553,0.765344321310207,0.9865425359811981,0.008894279777498768,0.2933432316610085,0.7612998279573179,0.9973137126039446
