Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.1581741993600778,0.4028687680390631,0.7743566785315953,0.9892463194619611,0.1291580290732312,0.4202050718119984,0.7828225103627813,0.9792075435955243
1,0.079259316991814,0.37434347619489394,0.7625550326983984,0.9892463194619611,0.07563424145114148,0.38846258490964136,0.768082178097692,0.9877404829511757
2,0.06731512514126865,0.3501855381013765,0.7546443434473182,0.9892463194619611,0.07184516754709194,0.36199770693129674,0.7580354142125607,0.9877404832933837
3,0.061027068051522124,0.330077381787016,0.749868756756642,0.9892463194619611,0.06784590702407821,0.3398560605760424,0.7521208891510246,0.9877404835728014
4,0.06146901511758118,0.31336115808257214,0.7467468562322332,0.9892463194619611,0.06525350027428459,0.3217404936816725,0.7484428546018376,0.9877273149099548
5,0.06275777874624512,0.29913107745950773,0.7443910562527302,0.9892463194619611,0.06292219453294891,0.30598795303106513,0.7458901914761458,0.9877404817306857
6,0.06553984393260408,0.2869719505625049,0.7424776589196154,0.9892463194619611,0.06101306935422071,0.29311737431949403,0.7437662268734794,0.987740486502762
7,0.06480142712855418,0.2772622773602404,0.7416308273967885,0.9892463194619611,0.057763893028719475,0.2822550813563982,0.7424255474732571,0.9877404797417975
8,0.06659243166438444,0.2698959674196653,0.7424878884333159,0.9892463194619611,0.0544903155253044,0.2737471789592164,0.7422569761365282,0.9877404845209375
9,0.07276971277268313,0.26471856280318434,0.7443058858761081,0.9892463194619611,0.05061491012594434,0.2675225739961547,0.7437000435966937,0.9877404842179736
10,0.06850922647186602,0.2620580764517431,0.7471714487371603,0.9892463194619611,0.04603891071032271,0.2639134210259673,0.7460761949812612,0.9877404790966253
11,0.08170572898009884,0.2615279934142714,0.7507341344861914,0.9892463194619611,0.041151866232567814,0.26209007416615265,0.7492906305339457,0.9877404857178811
12,0.10424633771382553,0.2637954362902652,0.7542448394067145,0.9892155950595461,0.03565143839776115,0.2634398260116389,0.7530824730770219,0.9878721626389386
13,0.10138589951511638,0.26870404024309036,0.7578366989784975,0.9892463194619611,0.03190053087953989,0.26685215357103714,0.7562912304900488,0.9895576793025017
